game_title,game_release_date,game_critic_score,game_user_score,video_number,video_total_views,video_total_likes,video_total_dislikes,video_total_favorites,video_total_comments,game_total_critic_reviews,game_total_user_reviews,game_type,game_rating,game_critic_positive_reviews,game_critic_mixed_reviews,game_critic_negative_reviews,game_user_positive_reviews,game_user_mixed_reviews,game_user_negative_reviews,video_average_views,game_name,links,global_sales
Tomb Raider: Anniversary,2007-06-05,83,8,40,2521272,14997,295,0,5133,26,244,Action Adventure,T,25,1,0,32,10,10,63031.8,Tomb Raider: Anniversary,http://www.vgchartz.com/game/28268/tomb-raider-anniversary/,0.03
RACE 07: Official WTCC Game,2007-10-09,83,9,22,464820,3566,76,0,854,22,181,Driving,E,20,2,0,26,2,2,21128.1818181818,RACE 07: Official WTCC Game,http://www.vgchartz.com/gamedb/?name=RACE+07%3A+Official+WTCC+Game,0
EverQuest II: Rise of Kunark,2007-11-13,83,7.9,49,39070,699,15,0,217,9,13,Role-Playing,T,9,0,0,6,0,0,797.34693877551,EverQuest II: Rise of Kunark,http://www.vgchartz.com/gamedb/?name=EverQuest+II%3A+Rise+of+Kunark,0
Europa Universalis III,2007-01-23,83,8.4,30,24478,218,44,0,156,25,196,Strategy,E,21,4,0,28,8,8,815.933333333333,Europa Universalis III,http://www.vgchartz.com/game/17392/europa-universalis-iii/,0.01
Sam & Max Episode 105: Reality 2.0,2007-03-29,82,8.4,37,112607,1657,26,0,586,23,16,Adventure,NA,20,3,0,1,0,0,3043.43243243243,Sam & Max Episode 105: Reality 2.0,NA,NA
Neverwinter Nights 2: Mask of The Betrayer,2007-10-09,82,8.8,1,76659,103,8,0,16,25,185,Role-Playing,T,22,3,0,24,5,5,76659,Neverwinter Nights 2,http://www.vgchartz.com/game/7446/neverwinter-nights-2/,0.02
S.T.A.L.K.E.R.: Shadow of Chernobyl,2007-03-20,82,8.4,36,76137,537,18,0,170,44,1107,Action,M,37,7,0,184,40,40,2114.91666666667,S.T.A.L.K.E.R.: Shadow of Chernobyl,http://www.vgchartz.com/game/12826/stalker-shadow-of-chernobyl/,0.06
Sam & Max Episode 201: Ice Station Santa,2007-11-08,82,8.5,41,4755854,10612,1126,0,1070,32,15,Adventure,T,29,3,0,2,0,0,115996.43902439,Sam & Max Episode 201: Ice Station Santa,NA,NA
Supreme Commander: Forged Alliance,2007-11-06,81,8.9,45,1252480,36446,336,0,4025,35,219,Strategy,E10+,31,4,0,42,5,5,27832.8888888889,Supreme Commander: Forged Alliance,http://www.vgchartz.com/game/13157/supreme-commander-forged-alliance/,0.04
The Witcher,2007-10-30,81,8.8,0,0,0,0,0,0,50,1124,Role-Playing,M,40,10,0,160,15,15,NaN,The Witcher,http://www.vgchartz.com/game/12396/the-witcher/,0.06
Jade Empire: Special Edition,2007-02-26,81,8.2,26,298063,2631,198,0,813,29,238,Role-Playing,M,24,5,0,21,12,12,11463.9615384615,Jade Empire: Special Edition,http://www.vgchartz.com/game/26515/jade-empire-special-edition/,0
Age of Empires III: The Asian Dynasties,2007-10-23,81,8.5,50,146190,1821,67,0,798,19,74,Strategy,T,17,2,0,9,1,1,2923.8,Age of Empires III: The Asian Dynasties,http://www.vgchartz.com/game/7426/age-of-empires-iii-the-asian-dynasties/,0.06
Sam & Max Episode 104: Abe Lincoln Must Die!,2007-02-22,80,7.7,0,0,0,0,0,0,24,39,Adventure,NA,20,4,0,9,1,1,NaN,Sam & Max Episode 104: Abe Lincoln Must Die!,NA,NA
Titan Quest: Immortal Throne,2007-03-05,80,8.7,48,381885,1321,118,0,706,23,218,Role-Playing,T,20,3,0,41,0,0,7955.9375,Titan Quest: Immortal Throne,http://www.vgchartz.com/game/18612/titan-quest-immortal-throne/,0
Test Drive Unlimited,2007-03-20,79,8.2,34,3779624,25726,869,0,2111,18,123,Driving,T,16,2,0,13,1,1,111165.411764706,Test Drive Unlimited,http://www.vgchartz.com/game/23911/test-drive-unlimited/,0.02
Sword of the Stars: Born of Blood,2007-06-05,79,8.1,50,730399,4680,136,0,1280,9,13,Strategy,E10+,8,1,0,4,0,0,14607.98,Sword of the Stars: Born of Blood,http://www.vgchartz.com/gamedb/?name=Sword+of+the+Stars%3A+Born+of+Blood,0
Sam & Max Episode 106: Bright Side of the Moon,2007-04-26,79,7.3,0,0,0,0,0,0,26,12,Adventure,T,NA,NA,NA,NA,NA,NA,NaN,Sam & Max Episode 106: Bright Side of the Moon,NA,NA
Guitar Hero III: Legends of Rock,2007-11-13,79,7.2,50,122426,799,37,0,251,15,63,Action,T,11,4,0,9,2,2,2448.52,Guitar Hero III: Legends of Rock,http://www.vgchartz.com/game/22012/guitar-hero-iii-legends-of-rock/,0.02
Shadowgrounds Survivor,2007-12-06,79,7.8,49,1321663,13917,564,0,2206,21,62,Action,M,17,4,0,11,8,8,26972.7142857143,Shadowgrounds Survivor,http://www.vgchartz.com/gamedb/?name=Shadowgrounds+Survivor,0
Guild Wars: Eye of the North,2007-08-28,79,8.6,8,140002,844,62,0,153,20,71,Role-Playing,T,15,5,0,8,2,2,17500.25,Guild Wars,http://www.vgchartz.com/game/7417/guild-wars/,0.04
Nancy Drew: Legend of the Crystal Skull,2007-10-08,79,8.3,13,42234,631,5,0,142,9,7,Adventure,E,NA,NA,NA,NA,NA,NA,3248.76923076923,Nancy Drew: Legend of the Crystal Skull,http://www.vgchartz.com/gamedb/?name=Nancy+Drew%3A+Legend+of+the+Crystal+Skull,NA
The Sims 2 Seasons,2007-02-27,78,7.3,0,0,0,0,0,0,20,29,Miscellaneous,T,15,5,0,4,1,1,NaN,The Sims 2,http://www.vgchartz.com/game/6479/the-sims-2/,0.29
Viva Pinata,2007-11-06,78,7.8,13,20305315,125816,3036,0,7232,20,20,Simulation,E,17,2,1,2,0,0,1561947.30769231,Viva Pinata,http://www.vgchartz.com/game/13239/viva-pinata/,0.02
Medal of Honor: Airborne,2007-09-04,78,7.3,29,11274,140,10,0,59,38,204,Action,T,26,12,0,20,10,10,388.758620689655,Medal of Honor: Airborne,http://www.vgchartz.com/game/21980/medal-of-honor-airborne/,0.05
Tabula Rasa,2007-10-30,78,8,36,1298718,9345,92,0,2868,34,104,Role-Playing,T,28,6,0,40,9,9,36075.5,Tabula Rasa,http://www.vgchartz.com/gamedb/?name=Tabula+Rasa,0
Universe at War: Earth Assault,2007-12-10,77,8.5,21,31840,362,1,0,261,48,142,Strategy,T,33,15,0,47,12,12,1516.19047619048,Universe at War: Earth Assault,http://www.vgchartz.com/game/14502/universe-at-war-earth-assault/,0.01
FIFA Soccer 08,2007-10-09,77,6.1,30,1712593,12796,577,0,3232,7,50,Sports,E,4,3,0,4,7,7,57086.4333333333,FIFA Soccer 08,http://www.vgchartz.com/game/7651/fifa-soccer-08/,0.02
Stranglehold,2007-09-18,77,7.4,50,1080840,25913,431,0,5319,15,76,Action,M,12,3,0,3,4,4,21616.8,Stranglehold,http://www.vgchartz.com/game/19997/stranglehold/,0
Battlefield 2142: Northern Strike,2007-03-08,77,8.9,50,2017036,11005,395,0,3339,15,45,Action,T,9,6,0,7,0,0,40340.72,Battlefield 2142: Northern Strike,http://www.vgchartz.com/game/27940/battlefield-2142-northern-strike/,NA
Battlestations: Midway,2007-01-30,76,7.3,36,1200734,5240,326,0,1075,20,46,Strategy,T,12,8,0,7,7,7,33353.7222222222,Battlestations: Midway,http://www.vgchartz.com/game/24742/battlestations-midway/,0.01
Tom Clancy's Ghost Recon Advanced Warfighter 2,2007-07-17,76,7.2,31,31904,343,7,0,81,24,66,Action,T,15,9,0,6,8,8,1029.16129032258,Tom Clancy's Ghost Recon Advanced Warfighter 2,http://www.vgchartz.com/game/16128/tom-clancys-ghost-recon-advanced-warfighter-2/,0.01
Geometry Wars: Retro Evolved,2007-03-07,76,8.8,5,476477,17759,351,0,3750,7,80,Action,E,4,3,0,25,4,4,95295.4,Geometry Wars: Retro Evolved,http://www.vgchartz.com/gamedb/?name=Geometry+Wars%3A+Retro+Evolved,0
Resident Evil 4,2007-05-15,76,7.4,31,30024,389,26,0,139,15,246,Action Adventure,M,8,7,0,24,20,20,968.516129032258,Resident Evil 4,http://www.vgchartz.com/game/70995/resident-evil-4/,0.03
City Life: World Edition,2007-02-09,75,8.2,41,192017,2211,98,0,801,7,9,Strategy,E,3,4,0,3,0,0,4683.34146341463,City Life: World Edition,http://www.vgchartz.com/game/27048/city-life-world-edition/,0.04
Sega Rally Revo,2007-11-19,74,7.6,45,764254,5267,634,0,1132,9,18,Driving,E,7,1,1,2,1,1,16983.4222222222,Sega Rally Revo,http://www.vgchartz.com/game/23580/sega-rally-revo/,0.01
ArmA: Combat Operations,2007-05-04,74,8,38,112529,841,40,0,208,27,79,Action,M,11,16,0,32,4,4,2961.28947368421,ArmA: Combat Operations,http://www.vgchartz.com/game/27044/arma-combat-operations/,NA
Destination: Treasure Island,2007-08-21,74,7.7,48,274862,6669,239,0,986,11,6,Adventure,E10+,8,3,0,1,0,0,5726.29166666667,Destination: Treasure Island,http://www.vgchartz.com/gamedb/?name=Destination%3A+Treasure+Island,0
